ProductID,ProductName,Category,SubCategory,StandardCost,ListPrice
P0001,ノートPC スタンダード,家電,PC・タブレット,78000,128000
P0002,ノートPC ハイエンド,家電,PC・タブレット,142000,238000
P0003,タブレット 10インチ,家電,PC・タブレット,32000,54000
P0004,デスクトップPC,家電,PC・タブレット,68000,112000
P0005,ワイヤレスマウス,家電,周辺機器,1400,3200
P0006,メカニカルキーボード,家電,周辺機器,5200,11800
P0007,27インチモニター,家電,周辺機器,18000,32800
P0008,USB-Cハブ,家電,周辺機器,2100,4900
P0009,ノイズキャンセルヘッドホン,家電,周辺機器,12000,27800
P0010,空気清浄機,家電,生活家電,15000,29800
P0011,電気ケトル,家電,生活家電,3200,6980
P0012,ロボット掃除機,家電,生活家電,32000,64800
P0013,ダウンジャケット,衣料,アウター,8500,19800
P0014,トレンチコート,衣料,アウター,7200,16800
P0015,マウンテンパーカー,衣料,アウター,6400,14800
P0016,オックスフォードシャツ,衣料,トップス,1800,4900
P0017,カシミヤニット,衣料,トップス,6200,16800
P0018,スウェット,衣料,トップス,2100,5900
P0019,Tシャツ 3枚組,衣料,トップス,1200,2980
P0020,スリムデニム,衣料,ボトムス,2900,7900
P0021,チノパンツ,衣料,ボトムス,2200,5900
P0022,プリーツスカート,衣料,ボトムス,2600,6800
P0023,ドリップコーヒー 50P,食品,飲料,980,1980
P0024,緑茶ティーバッグ 100P,食品,飲料,620,1280
P0025,ミネラルウォーター 24本,食品,飲料,780,1580
P0026,チョコレート詰合せ,食品,菓子,890,1980
P0027,せんべい詰合せ,食品,菓子,720,1580
P0028,焼菓子ギフト,食品,菓子,1400,3200
P0029,オリーブオイル 500ml,食品,食材,980,2180
P0030,パスタ 1kg,食品,食材,380,780
P0031,だしパック 30袋,食品,食材,620,1380
P0032,国産米 5kg,食品,食材,2400,3980
